Date,Open,High,Low,Close,Return,Label,OHLC_avg
2/12/1998,1143.5,1153.25,1133,1148.5,,0,1144.5625
2/13/1998,1142.75,1149,1142.75,1144.25,-0.003700479,1,1144.6875
2/17/1998,1143.25,1155.25,1143,1149.25,0.004369674,1,1147.6875
2/18/1998,1149.5,1157.75,1145.75,1157.25,0.006961062,0,1152.5625
2/19/1998,1157.75,1159.75,1150.5,1152,-0.004536617,1,1155
2/20/1998,1153.75,1159.75,1146.5,1158.75,0.005859375,0,1154.6875
2/23/1998,1163.25,1167.5,1155.5,1163.25,0.003883495,0,1162.375
2/24/1998,1159.75,1163,1152,1155.25,-0.006877283,1,1157.5
2/25/1998,1156.75,1171.25,1156,1167.25,0.010387362,1,1162.8125
2/26/1998,1168.25,1174.25,1163.75,1174.25,0.005997001,0,1170.125
2/27/1998,1174.5,1176.75,1167.75,1172.25,-0.001703215,0,1172.8125
3/2/1998,1172.75,1178.75,1168.25,1172,-0.000213265,1,1172.9375
3/3/1998,1170.75,1178.25,1166.5,1177.75,0.004906143,0,1173.3125
3/4/1998,1176.5,1177,1165.25,1169.75,-0.006792613,1,1172.125
3/5/1998,1156.75,1164.75,1153.75,1160.25,-0.008121393,1,1158.875
3/6/1998,1158.25,1179.75,1156.25,1179.25,0.016375781,0,1168.375
3/9/1998,1172.75,1182,1172,1175.25,-0.003391986,1,1175.5
3/10/1998,1175.75,1188.25,1175.75,1186.5,0.009572431,0,1181.5625
3/11/1998,1187.5,1192.25,1185,1189.25,0.002317741,1,1188.5
3/12/1998,1188.75,1194.75,1184,1193.75,0.003783897,0,1190.3125
3/13/1998,1196.25,1198.75,1188.25,1190.5,-0.002722513,1,1193.4375
3/16/1998,1189.25,1202.25,1188.5,1201.25,0.009029819,0,1195.3125
3/17/1998,1201,1204,1195.75,1203.75,0.002081165,1,1201.125
3/18/1998,1202.5,1207.75,1199,1207,0.002699896,1,1204.0625
3/19/1998,1207.25,1211.75,1205.5,1211.5,0.003728252,1,1209
3/20/1998,1211,1223.5,1210.25,1221,0.007841519,0,1216.4375
3/23/1998,1216.5,1223.25,1215,1218.25,-0.002252252,1,1218.25
3/24/1998,1217.75,1229,1217.25,1226.75,0.006977221,0,1222.6875
3/25/1998,1229.25,1235,1212.25,1223.5,-0.002649277,0,1225
3/26/1998,1225,1227.5,1216.75,1220.25,-0.002656314,0,1222.375
3/27/1998,1220.25,1229.25,1208.5,1217.75,-0.00204876,0,1218.9375
3/30/1998,1216.75,1220.75,1210,1215.25,-0.002052967,1,1215.6875
3/31/1998,1216.25,1232,1215.25,1220.5,0.004320099,1,1221
4/1/1998,1219.75,1231,1214,1228,0.006145023,1,1223.1875
4/2/1998,1226.75,1242.5,1225.75,1240.75,0.010382736,1,1233.9375
4/3/1998,1239.75,1247.25,1237.75,1244.75,0.003223857,0,1242.375
4/6/1998,1244.25,1252.25,1236.5,1236.75,-0.006426993,0,1242.4375
4/7/1998,1235.5,1240.75,1220.25,1228.25,-0.006872852,0,1231.1875
4/8/1998,1232.5,1233.25,1214.75,1221.75,-0.005292082,1,1225.5625
4/9/1998,1223.25,1231,1222.25,1229.75,0.006547984,0,1226.5625
4/13/1998,1232.75,1234,1217.25,1227,-0.002236227,1,1227.75
4/14/1998,1227,1235.75,1226.25,1234.75,0.006316218,0,1230.9375
