Date,Open,High,Low,Close,Up,Down,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,CLASS
2/12/1998,1143.5,1153.25,1133,1148.5,5811,0,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2/13/1998,1142.75,1149,1142.75,1144.25,3385,0,1,,,0,0,0,0,,,,,0,1,,,0,1,,,0,,0,,,,,,,,0,0,0,1,0,1,,,,,,1
2/17/1998,1143.25,1155.25,1143,1149.25,4268,0,1,,,1,1,1,1,,,0,0,1,0,0,1,0,1,0,1,1,,0,,,,,,,,0,0,0,0,0,0,,,1,1,0,1
2/18/1998,1149.5,1157.75,1145.75,1157.25,4861,0,1,,,0,0,1,1,,,1,0,1,0,1,0,0,1,0,1,1,,0,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2/19/1998,1157.75,1159.75,1150.5,1152,4548,0,0,,,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,1,,0,,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1
2/20/1998,1153.75,1159.75,1146.5,1158.75,4741,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,1,0,0
2/23/1998,1163.25,1167.5,1155.5,1163.25,4700,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2/24/1998,1159.75,1163,1152,1155.25,5497,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1
2/25/1998,1156.75,1171.25,1156,1167.25,4549,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1
2/26/1998,1168.25,1174.25,1163.75,1174.25,4809,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2/27/1998,1174.5,1176.75,1167.75,1172.25,4765,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,1,1,0,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0
3/2/1998,1172.75,1178.75,1168.25,1172,4862,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1
3/3/1998,1170.75,1178.25,1166.5,1177.75,4758,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0
